date,hour,fw,bw
2016-12-01,07,525,410
2016-12-01,08,561,487
2016-12-01,09,840,777
2016-12-01,10,1335,1272
2016-12-01,11,1510,1484
2016-12-01,12,1301,1322
2016-12-01,13,1700,1695
2016-12-01,14,1731,1716
2016-12-01,15,1967,1943
2016-12-01,16,2243,2159
2016-12-01,17,2147,2176
2016-12-01,18,1793,1871
2016-12-01,19,1117,1095
2016-12-01,20,773,691
2016-12-01,21,686,580
2016-12-01,22,662,532
2016-12-01,23,576,484
2016-12-02,00,496,316
2016-12-02,01,414,218
2016-12-02,02,441,264
2016-12-02,03,438,270
2016-12-02,04,434,228
2016-12-02,05,426,245
2016-12-02,06,468,295
2016-12-02,07,492,403
2016-12-02,08,703,620
2016-12-02,09,929,859
2016-12-02,10,1547,1467
2016-09-22,00,150,289
2016-12-02,11,1866,1857
2016-10-11,02,4,2
2016-10-11,03,3,0
2016-10-11,04,5,1
2016-10-11,05,12,4
2016-10-11,06,20,11
2016-10-11,07,214,144
2016-10-11,08,332,323
2016-10-11,09,553,501
2016-10-11,10,891,703
2016-10-11,11,869,849
2016-10-11,12,1058,1078
2016-10-11,13,855,926
2016-10-11,14,835,901
2016-10-11,15,1009,953
2016-10-11,16,1126,1097
2016-10-11,17,961,1016
2016-10-11,18,947,909
2016-10-11,19,527,395
2016-10-11,20,267,234
2016-10-11,21,174,183
2016-10-11,22,131,135
2016-10-11,23,79,108
2016-10-12,00,35,50
2016-10-12,01,19,29
2016-10-12,02,23,20
2016-10-12,03,29,17
2016-10-12,04,24,14
2016-10-12,05,30,20
2016-10-12,06,62,46
2016-10-12,07,361,306
2016-10-12,08,561,459
2016-10-12,09,833,690
2016-10-12,10,1404,1202
2016-10-12,11,1958,1800
2016-10-12,12,1931,1928
2016-10-12,13,1769,1741
2016-10-12,14,1858,1750
2016-10-12,15,2275,2096
2016-10-12,16,2176,2023
2016-10-12,17,1860,1869
2016-10-12,18,1573,1568
2016-10-12,19,996,1036
2016-10-12,20,343,344
2016-10-12,21,227,248
2016-10-12,22,183,184
2016-10-12,23,93,97
2016-10-13,00,22,27
2016-10-13,01,9,18
2016-10-13,02,8,4
2016-10-13,03,2,5
2016-10-13,04,6,4
2016-10-13,05,21,18
2016-10-13,06,77,39
2016-10-13,07,362,304
2016-10-13,08,625,511
2016-10-13,09,900,829
2016-10-13,10,1502,1352
2016-10-13,11,1987,1657
2016-10-13,12,1533,1474
