date,hour,p109
2015-12-22,15,82
2015-12-22,16,83
2015-12-22,17,96
2015-12-22,18,120
2015-12-22,19,150
2015-12-22,20,159
2015-12-22,21,158
2015-12-22,22,160
2015-12-22,23,159
2015-12-23,00,159
2015-12-23,01,159
2015-12-23,02,160
2015-12-23,03,160
2015-12-23,04,159
2015-12-23,05,160
2015-12-23,06,158
2015-12-23,07,146
2015-12-23,08,114
2015-12-23,09,89
2015-12-23,10,75
2015-12-23,11,65
2015-12-23,12,71
2015-12-23,13,80
2015-12-23,14,82
2015-12-23,15,84
2015-12-23,16,89
2015-12-23,17,96
2015-12-23,18,121
2015-12-23,19,146
2015-12-23,20,158
2015-12-23,21,159
2015-12-23,22,158
2015-12-23,23,159
2015-12-24,00,160
2015-12-24,01,160
2015-12-24,02,160
2015-12-24,03,159
2015-12-24,04,159
2015-12-24,05,160
2015-12-24,06,160
2015-12-24,07,159
2015-12-24,08,153
2015-12-24,09,142
2015-12-24,10,131
2015-12-24,11,128
2015-12-24,12,140
2015-12-24,13,148
2015-12-24,14,152
2015-12-24,15,153
2015-12-24,16,155
2015-12-24,17,159
2015-12-24,18,159
2015-12-24,19,159
2015-12-24,20,160
2015-12-24,21,160
2015-12-24,22,160
2015-12-24,23,159
2015-12-25,00,159
2015-12-25,01,160
2015-12-25,02,159
2015-12-25,03,160
2015-12-25,04,160
2015-12-25,05,160
2015-12-25,06,160
2015-12-25,07,160
2015-12-25,08,159
2015-12-25,09,160
2015-12-25,10,160
2015-12-25,11,160
2015-12-25,12,159
2015-12-25,13,154
2015-12-25,14,154
2015-12-25,15,155
2015-12-25,16,155
2015-12-25,17,156
2015-12-25,18,157
2015-12-25,19,159
2015-12-25,20,159
2015-12-25,21,159
2015-12-25,22,159
2015-12-25,23,159
2015-12-26,00,158
2015-12-26,01,159
2015-12-26,02,160
2015-12-26,03,160
2015-12-26,04,160
2015-12-26,05,160
2015-12-26,06,160
2015-12-26,07,159
2015-12-26,08,160
2015-12-26,09,159
2015-12-26,10,159
2015-12-26,11,159
2015-12-26,12,154
2015-12-26,13,154
2015-12-26,14,152
2015-12-26,15,138
2015-12-26,16,91
2015-12-26,17,56
2015-12-26,18,94
2015-12-26,19,125
2015-12-26,20,149
2015-12-26,21,151
2015-12-26,22,155
2015-12-26,23,157
2015-12-27,00,159
2015-12-27,01,158
2015-12-27,02,158
2015-12-27,03,159
2015-12-27,04,159
2015-12-27,05,159
2015-12-27,06,159
2015-12-27,07,159
2015-12-27,08,158
2015-12-27,09,158
2015-12-27,10,159
2015-12-27,11,154
2015-12-27,12,146
2015-12-27,13,117
2015-12-27,14,16
2015-12-27,15,10
2015-12-27,16,8
2015-12-27,17,80
2015-12-27,18,109
2015-12-27,19,129
2015-12-27,20,152
2015-12-27,21,159
2015-12-27,22,159
2015-12-27,23,159
2015-12-28,00,159
2015-12-28,01,160
2015-12-28,02,159
2015-12-28,03,159
2015-12-28,04,160
2015-12-28,05,160
2015-12-28,06,159
2015-12-28,07,155
2015-12-28,08,133
2015-12-28,09,121
2015-12-28,10,113
2015-12-28,11,112
2015-12-28,12,113
2015-12-28,13,115
2015-12-28,14,117
2015-12-28,15,111
2015-12-28,16,108
2015-12-28,17,121
2015-12-28,18,138
2015-12-28,19,151
2015-12-28,20,160
2015-12-28,21,160
2015-12-28,22,160
2015-12-28,23,159
2015-12-29,00,159
2015-12-29,01,160
2015-12-29,02,159
2015-12-29,03,160
2015-12-29,04,159
2015-12-29,05,159
2015-12-29,06,159
2015-12-29,07,155
2015-12-29,08,138
2015-12-29,09,120
2015-12-29,10,107
2015-12-29,11,90
2015-12-29,12,84
2015-12-29,13,91
2015-12-29,14,95
2015-12-29,15,92
2015-12-29,16,85
2015-12-29,17,107
2015-12-29,18,132
2015-12-29,19,147
2015-12-29,20,157
2015-12-29,21,160
2015-12-29,22,159
2015-12-29,23,159
2015-12-30,00,158
2015-12-30,01,157
2015-12-30,02,157
2015-12-30,03,157
2015-12-30,04,157
